question_type,question_count,similarity_method,total_possible_pairs,pairs_used,mean,std,min,p10,p25,median,p75,p90,max,fraction_ge_0_8,fraction_ge_0_9
table_hop,831,exact,344865,344865,0.3806957006454468,0.09665169566869736,0.039497070014476776,0.26115495562553404,0.3143308162689209,0.37625789642333984,0.4417802393436432,0.5062507748603822,0.9662951231002808,0.00020297797688950748,8.699056152407464e-06
passage,797,exact,317206,317206,0.3175753057003021,0.0815543532371521,0.02810818888247013,0.2194213643670082,0.261460080742836,0.31129543483257294,0.3661362901329994,0.4225493371486664,0.8220231533050537,3.152525488168572e-06,0.0
passage_hop,706,exact,248865,248865,0.33569806814193726,0.07587604969739914,0.06481436640024185,0.24395950138568878,0.28288254141807556,0.33047622442245483,0.38300174474716187,0.43342986702919006,0.9633828401565552,0.00030538645450344567,5.223715669137886e-05
table,654,exact,213531,213531,0.32879987359046936,0.1270584762096405,0.020417584106326103,0.18716534972190857,0.24360425770282745,0.312471479177475,0.3917408734560013,0.483685165643692,0.9989838600158691,0.00920241089115866,0.003685647517222324
passage_table,406,exact,82215,82215,0.3323681950569153,0.09351672232151031,0.06432053446769714,0.22483939230442046,0.2680858075618744,0.3208634555339813,0.3833308219909668,0.45579656958580017,0.9262007474899292,0.0004257130693912303,7.297938332421091e-05
